,game_date,game_id,home_name,away_name,total_goals,final_goal_diff,streak_changes,max_streak,last_streak,lead_changes,tied_not_led,max_winner_lead,max_loser_lead
332,2023-10-10,2023020002,Pittsburgh Penguins,Chicago Blackhawks,6,2,1,4,4,1,0,2,2
651,2023-10-10,2023020001,Tampa Bay Lightning,Nashville Predators,8,2,4,2,2,2,1,2,1
967,2023-10-10,2023020003,Vegas Golden Knights,Seattle Kraken,5,3,2,3,1,0,0,3,0
1252,2023-10-11,2023020006,Boston Bruins,Chicago Blackhawks,4,2,1,3,3,1,0,2,1
1597,2023-10-11,2023020007,Calgary Flames,Winnipeg Jets,8,2,6,2,2,0,3,2,0
1946,2023-10-11,2023020004,Carolina Hurricanes,Ottawa Senators,8,2,3,3,2,1,1,2,1
2287,2023-10-11,2023020008,Los Angeles Kings,Colorado Avalanche,7,3,2,3,2,0,0,3,0
2585,2023-10-11,2023020009,Vancouver Canucks,Edmonton Oilers,9,7,2,4,4,0,0,7,0
2942,2023-10-11,2023020005,Toronto Maple Leafs,Montreal Canadiens,10,0,3,3,3,3,0,1,2
3241,2023-10-12,2023020010,Buffalo Sabres,New York Rangers,6,4,2,3,2,0,0,4,0
3545,2023-10-12,2023020011,Columbus Blue Jackets,Philadelphia Flyers,6,2,4,2,1,0,1,2,0
3884,2023-10-12,2023020013,Dallas Stars,St. Louis Blues,2,0,4,1,1,0,2,1,0
4235,2023-10-12,2023020012,New Jersey Devils,Detroit Red Wings,7,1,4,2,1,1,1,2,1
4552,2023-10-12,2023020014,Minnesota Wild,Florida Panthers,2,2,0,2,2,0,0,2,0
4866,2023-10-12,2023020015,Nashville Predators,Seattle Kraken,3,3,0,3,3,0,0,3,0
5151,2023-10-12,2023020016,San Jose Sharks,Vegas Golden Knights,5,3,2,3,3,0,1,3,0
5471,2023-10-13,2023020017,New Jersey Devils,Arizona Coyotes,6,0,2,3,3,2,0,2,1
5803,2023-10-13,2023020018,Washington Capitals,Pittsburgh Penguins,4,4,0,4,4,0,0,4,0
6123,2023-10-14,2023020031,Vegas Golden Knights,Anaheim Ducks,5,3,2,3,1,0,0,3,0
6473,2023-10-14,2023020021,Boston Bruins,Nashville Predators,5,1,3,2,1,1,1,1,1
6814,2023-10-14,2023020027,New York Islanders,Buffalo Sabres,5,1,2,2,1,0,1,2,0
7123,2023-10-14,2023020025,Pittsburgh Penguins,Calgary Flames,7,3,3,4,1,1,0,3,1
7460,2023-10-14,2023020032,Los Angeles Kings,Carolina Hurricanes,10,0,8,4,2,2,1,3,1
7767,2023-10-14,2023020024,Montreal Canadiens,Chicago Blackhawks,5,1,1,3,2,0,0,3,0
8143,2023-10-14,2023020030,San Jose Sharks,Colorado Avalanche,2,0,1,2,2,1,0,1,1
8448,2023-10-14,2023020022,Columbus Blue Jackets,New York Rangers,8,2,4,4,1,1,0,3,1
8726,2023-10-14,2023020023,Detroit Red Wings,Tampa Bay Lightning,10,2,6,2,1,2,1,2,1
9085,2023-10-14,2023020029,Edmonton Oilers,Vancouver Canucks,7,1,5,2,1,1,2,1,1
9408,2023-10-14,2023020020,Winnipeg Jets,Florida Panthers,10,2,4,4,1,2,0,3,1
9761,2023-10-14,2023020026,Toronto Maple Leafs,Minnesota Wild,11,3,4,4,1,1,0,4,1
10064,2023-10-14,2023020019,Ottawa Senators,Philadelphia Flyers,7,3,4,2,2,0,0,3,0
10382,2023-10-14,2023020028,St. Louis Blues,Seattle Kraken,2,0,1,2,2,1,0,1,1
10676,2023-10-15,2023020034,Anaheim Ducks,Carolina Hurricanes,9,3,4,3,2,0,0,3,0
10971,2023-10-15,2023020033,Ottawa Senators,Tampa Bay Lightning,7,3,4,3,3,0,2,3,0
11264,2023-10-16,2023020037,New York Rangers,Arizona Coyotes,3,1,2,1,1,0,1,1,0
11599,2023-10-16,2023020039,Washington Capitals,Calgary Flames,4,0,1,3,3,1,0,1,2
11974,2023-10-16,2023020038,Toronto Maple Leafs,Chicago Blackhawks,5,3,2,3,3,0,1,3,0
