,game_date,game_id,home_name,away_name,total_goals,final_goal_diff,streak_changes,max_streak,last_streak,lead_changes,tied_not_led,max_winner_lead,max_loser_lead
332,2023-10-10,2023020002,Pittsburgh Penguins,Chicago Blackhawks,0.49892857142857144,0.4907142857142857,0.1875,0.8207142857142857,0.8939285714285714,0.7396428571428572,0.29214285714285715,0.37785714285714284,0.9332142857142857
651,2023-10-10,2023020001,Tampa Bay Lightning,Nashville Predators,0.7932142857142858,0.4907142857142857,0.7967857142857143,0.23142857142857143,0.5575,0.9385714285714286,0.74,0.37785714285714284,0.7346428571428572
967,2023-10-10,2023020003,Vegas Golden Knights,Seattle Kraken,0.33321428571428574,0.7139285714285715,0.3985714285714286,0.5682142857142857,0.2175,0.2910714285714286,0.29214285714285715,0.6471428571428571,0.2910714285714286
1252,2023-10-11,2023020006,Boston Bruins,Chicago Blackhawks,0.18428571428571427,0.4907142857142857,0.1875,0.5682142857142857,0.7653571428571428,0.7396428571428572,0.29214285714285715,0.37785714285714284,0.7346428571428572
1597,2023-10-11,2023020007,Calgary Flames,Winnipeg Jets,0.7932142857142858,0.4907142857142857,0.9639285714285715,0.23142857142857143,0.5575,0.2910714285714286,0.9925,0.37785714285714284,0.2910714285714286
1946,2023-10-11,2023020004,Carolina Hurricanes,Ottawa Senators,0.7932142857142858,0.4907142857142857,0.6185714285714285,0.5682142857142857,0.5575,0.7396428571428572,0.74,0.37785714285714284,0.7346428571428572
2287,2023-10-11,2023020008,Los Angeles Kings,Colorado Avalanche,0.66,0.7139285714285715,0.3985714285714286,0.5682142857142857,0.5575,0.2910714285714286,0.29214285714285715,0.6471428571428571,0.2910714285714286
2585,2023-10-11,2023020009,Vancouver Canucks,Edmonton Oilers,0.88,0.9935714285714285,0.3985714285714286,0.8207142857142857,0.8939285714285714,0.2910714285714286,0.29214285714285715,0.9921428571428571,0.2910714285714286
2942,2023-10-11,2023020005,Toronto Maple Leafs,Montreal Canadiens,0.9403571428571429,0.029642857142857144,0.6185714285714285,0.5682142857142857,0.7653571428571428,0.9896428571428572,0.29214285714285715,0.12392857142857143,0.9332142857142857
3241,2023-10-12,2023020010,Buffalo Sabres,New York Rangers,0.49892857142857144,0.8864285714285715,0.3985714285714286,0.5682142857142857,0.5575,0.2910714285714286,0.29214285714285715,0.8514285714285714,0.2910714285714286
3545,2023-10-12,2023020011,Columbus Blue Jackets,Philadelphia Flyers,0.49892857142857144,0.4907142857142857,0.7967857142857143,0.23142857142857143,0.2175,0.2910714285714286,0.74,0.37785714285714284,0.2910714285714286
